time_offset,wave_index,enemy_type,path_line
0.0,1,hijacker,PathLine
1.0,1,basic,PathLine2
2.5,1,basic,PathLine2
4.0,1,splitter,PathLine2
0.0,2,basic,PathLine2
2.0,2,hijacker,PathLine
4.0,2,basic,PathLine2
0.0,3,basic,PathLine2
1.5,3,basic,PathLine2
3.0,3,basic,PathLine2
4.5,3,basic,PathLine2
0.0,4,basic,PathLine2
1.5,4,basic,PathLine2
3.0,4,hijacker,PathLine
4.5,4,basic,PathLine2
0.0,5,hijacker,PathLine
1.0,5,basic,PathLine2
2.0,5,basic,PathLine2
3.0,5,splitter,PathLine2
4.0,5,splitter,PathLine2
